Episode 146, Reward: -8.64, Steps: 77, Epsilon: 0.998
Episode 147, Reward: -5.00, Steps: 46, Epsilon: 0.998
Episode 148, Reward: -16.21, Steps: 62, Epsilon: 0.998
Episode 149, Reward: -4.25, Steps: 60, Epsilon: 0.998
Episode 150, Reward: -15.09, Steps: 86, Epsilon: 0.998
Episode 151, Reward: -7.36, Steps: 90, Epsilon: 0.998
Episode 152, Reward: -22.72, Steps: 69, Epsilon: 0.998
Episode 153, Reward: -7.17, Steps: 84, Epsilon: 0.998
Episode 154, Reward: -16.96, Steps: 71, Epsilon: 0.998
Episode 155, Reward: -35.92, Steps: 119, Epsilon: 0.998
Episode 156, Reward: -9.52, Steps: 116, Epsilon: 0.998
Episode 157, Reward: -3.08, Steps: 37, Epsilon: 0.998
Episode 158, Reward: -2.92, Steps: 27, Epsilon: 0.998
Episode 159, Reward: -7.97, Steps: 71, Epsilon: 0.998
Episode 160, Reward: -24.49, Steps: 64, Epsilon: 0.998
Episode 161, Reward: -5.72, Steps: 40, Epsilon: 0.998
Episode 162, Reward: -4.58, Steps: 31, Epsilon: 0.998
Episode 163, Reward: -8.61, Steps: 97, Epsilon: 0.998
Episode 164, Reward: -21.55, Steps: 56, Epsilon: 0.998
Episode 165, Reward: -46.80, Steps: 95, Epsilon: 0.998
Episode 166, Reward: -37.43, Steps: 82, Epsilon: 0.998
Episode 167, Reward: -8.91, Steps: 81, Epsilon: 0.998
Episode 168, Reward: -14.36, Steps: 103, Epsilon: 0.998
Episode 169, Reward: -30.29, Steps: 104, Epsilon: 0.998
Episode 170, Reward: -3.19, Steps: 36, Epsilon: 0.998
Episode 171, Reward: -6.00, Steps: 53, Epsilon: 0.998
Episode 172, Reward: -18.71, Steps: 107, Epsilon: 0.998
Episode 173, Reward: -8.19, Steps: 83, Epsilon: 0.998
Episode 174, Reward: -6.76, Steps: 43, Epsilon: 0.998
Episode 175, Reward: -18.96, Steps: 82, Epsilon: 0.998
Episode 176, Reward: -2.81, Steps: 40, Epsilon: 0.998
Episode 177, Reward: -5.06, Steps: 61, Epsilon: 0.998
Episode 178, Reward: -2.50, Steps: 42, Epsilon: 0.998
Episode 179, Reward: -3.64, Steps: 29, Epsilon: 0.998
Episode 180, Reward: -6.53, Steps: 64, Epsilon: 0.998
Episode 181, Reward: -16.48, Steps: 96, Epsilon: 0.998
Episode 182, Reward: -10.53, Steps: 112, Epsilon: 0.998
Episode 183, Reward: -12.27, Steps: 76, Epsilon: 0.998
Episode 184, Reward: -12.26, Steps: 107, Epsilon: 0.998
Episode 185, Reward: -17.57, Steps: 95, Epsilon: 0.998
Episode 186, Reward: -8.71, Steps: 88, Epsilon: 0.998
Episode 187, Reward: -2.53, Steps: 42, Epsilon: 0.998
Episode 188, Reward: -16.41, Steps: 66, Epsilon: 0.997
Episode 189, Reward: -3.19, Steps: 32, Epsilon: 0.997
Episode 190, Reward: -4.44, Steps: 40, Epsilon: 0.997
Episode 191, Reward: -6.33, Steps: 74, Epsilon: 0.997
Episode 192, Reward: -13.21, Steps: 73, Epsilon: 0.997
Episode 193, Reward: -2.14, Steps: 20, Epsilon: 0.997
Episode 194, Reward: -10.33, Steps: 103, Epsilon: 0.997
Episode 195, Reward: -5.56, Steps: 55, Epsilon: 0.997
Episode 196, Reward: -26.97, Steps: 101, Epsilon: 0.997
Episode 197, Reward: -22.19, Steps: 115, Epsilon: 0.997
Episode 198, Reward: -16.03, Steps: 85, Epsilon: 0.997
Episode 199, Reward: -3.46, Steps: 26, Epsilon: 0.997
Episode 200, Reward: -5.67, Steps: 58, Epsilon: 0.997
Episode 201, Reward: -20.00, Steps: 43, Epsilon: 0.997
Episode 202, Reward: -2.50, Steps: 40, Epsilon: 0.997
Episode 203, Reward: -8.39, Steps: 64, Epsilon: 0.997
Episode 204, Reward: -11.03, Steps: 112, Epsilon: 0.997
Episode 205, Reward: -9.58, Steps: 64, Epsilon: 0.997
Episode 206, Reward: -32.30, Steps: 72, Epsilon: 0.997
Episode 207, Reward: -11.72, Steps: 102, Epsilon: 0.997
Episode 208, Reward: -9.47, Steps: 80, Epsilon: 0.997
Episode 209, Reward: -14.09, Steps: 98, Epsilon: 0.997
Episode 210, Reward: -14.94, Steps: 38, Epsilon: 0.997
Episode 211, Reward: -10.33, Steps: 97, Epsilon: 0.997
Episode 212, Reward: -3.31, Steps: 18, Epsilon: 0.997
Episode 213, Reward: -2.11, Steps: 22, Epsilon: 0.997
Episode 214, Reward: -17.72, Steps: 81, Epsilon: 0.997
Episode 215, Reward: -23.56, Steps: 87, Epsilon: 0.997
Episode 216, Reward: -20.56, Steps: 70, Epsilon: 0.997
Episode 217, Reward: -4.28, Steps: 24, Epsilon: 0.997
Episode 218, Reward: -16.10, Steps: 33, Epsilon: 0.997
Episode 219, Reward: -3.44, Steps: 46, Epsilon: 0.997
Episode 220, Reward: -22.25, Steps: 125, Epsilon: 0.997
Episode 221, Reward: -11.00, Steps: 98, Epsilon: 0.997
Episode 222, Reward: -3.33, Steps: 29, Epsilon: 0.997
Episode 223, Reward: -11.11, Steps: 113, Epsilon: 0.997
Episode 224, Reward: -7.06, Steps: 59, Epsilon: 0.997
Episode 225, Reward: -12.41, Steps: 73, Epsilon: 0.997
Episode 226, Reward: -3.81, Steps: 52, Epsilon: 0.997
Episode 227, Reward: -26.23, Steps: 86, Epsilon: 0.997
Episode 228, Reward: -13.53, Steps: 78, Epsilon: 0.997
Episode 229, Reward: -6.42, Steps: 73, Epsilon: 0.997
Episode 230, Reward: -38.68, Steps: 99, Epsilon: 0.997
Episode 231, Reward: -12.67, Steps: 75, Epsilon: 0.997
Episode 232, Reward: -8.44, Steps: 63, Epsilon: 0.997
Episode 233, Reward: -17.44, Steps: 100, Epsilon: 0.997
Episode 234, Reward: -11.80, Steps: 29, Epsilon: 0.997
Episode 235, Reward: -6.94, Steps: 85, Epsilon: 0.997
Episode 236, Reward: -5.86, Steps: 50, Epsilon: 0.997
Episode 237, Reward: -8.97, Steps: 82, Epsilon: 0.997
Episode 238, Reward: -2.61, Steps: 26, Epsilon: 0.997
Episode 239, Reward: -9.94, Steps: 129, Epsilon: 0.997
Episode 240, Reward: -4.17, Steps: 49, Epsilon: 0.997
Episode 241, Reward: -3.97, Steps: 37, Epsilon: 0.997
Episode 242, Reward: -8.19, Steps: 50, Epsilon: 0.997
Episode 243, Reward: -5.50, Steps: 66, Epsilon: 0.997
Episode 244, Reward: -1.94, Steps: 24, Epsilon: 0.997
